,0,1,2,3,4,5,6,7,8,9,10,11,12,y
0,23,60,24,72,97,37,44,42,20,80,2,27,4,0.650079430115899
1,23,16,24,49,97,36,44,42,20,21,59,27,4,0.5002103814772743
2,23,60,42,49,97,36,30,78,66,21,59,65,4,0.3919453862293123
3,23,60,42,49,97,37,30,42,20,80,2,65,4,0.3448198870675504
4,23,16,24,72,97,37,30,42,66,21,59,27,4,0.21236529124400746
5,42,16,24,49,97,36,30,78,66,80,59,65,78,0.5949164916115516
6,42,16,24,49,97,37,30,78,20,21,2,65,4,0.5806878194329113
7,23,16,24,72,97,37,30,42,66,80,59,65,4,0.5758361600471574
8,23,60,42,72,97,36,30,42,20,80,2,27,78,0.5395131165506535
9,23,16,24,72,97,37,30,42,66,21,2,27,78,0.5621055340505007
10,23,60,24,72,97,37,30,42,66,80,59,65,78,0.3753467000598099
11,23,60,24,72,97,37,30,78,20,21,2,27,4,0.26383581605568385
12,23,16,24,49,97,37,30,42,66,80,59,65,78,0.17240135665952913
13,23,60,42,72,97,37,30,78,66,21,2,27,78,0.5378128889451365
14,23,60,24,49,97,37,44,42,20,80,2,27,4,0.49774591051048495
15,42,16,42,72,97,36,30,78,66,80,2,65,78,0.4829247344943241
16,23,16,24,72,97,37,30,78,20,80,2,65,78,0.5386200680368596
17,42,16,24,72,97,37,30,42,66,21,2,65,4,0.4871667169736753
18,42,16,24,72,97,37,30,42,20,21,59,27,78,0.4816967924480524
19,23,16,24,49,97,37,30,78,20,80,2,27,4,0.5674638271720943
20,42,16,24,49,97,37,30,78,20,80,2,27,4,0.5193851700175955
21,42,16,24,49,97,37,30,78,66,21,59,65,4,0.39729509247665995
22,23,16,24,72,97,36,30,78,20,80,2,27,78,0.4112919149729956
23,42,16,24,49,97,37,30,42,66,21,59,65,78,0.42901549933859673
24,23,16,24,72,97,37,30,42,20,21,2,65,4,0.46885062877055367
25,23,60,24,72,97,36,44,42,20,80,2,65,78,0.6431325401132076
26,23,16,42,72,97,37,44,78,20,80,2,65,78,0.6235541623668297
27,23,16,42,49,97,37,30,78,20,80,2,27,78,0.7110987079238236
28,23,16,24,72,97,37,30,78,20,21,2,27,4,0.4450045079220864
29,23,16,42,49,97,37,30,78,66,80,59,27,78,0.5730367955478902
30,23,16,24,72,97,36,30,78,66,21,2,27,78,0.44224807847365977
31,42,16,24,72,97,37,30,78,66,80,2,27,78,0.5723498347344426
32,42,16,24,72,97,37,30,78,20,80,2,27,4,0.6789231892511337
33,23,16,24,49,97,37,30,42,20,21,2,65,4,0.5821991324069641
34,42,16,24,72,97,37,44,78,66,80,2,65,4,0.614477694929827
35,42,16,24,72,97,37,44,78,66,21,2,27,4,0.5157958008547077
36,42,16,24,72,97,37,44,78,20,80,2,27,4,0.48049461170412916
37,42,16,24,72,97,36,44,42,66,21,2,27,4,0.5485294745087135
38,42,16,24,72,97,37,44,78,20,80,59,27,78,0.16161607474276324
39,42,60,42,72,97,36,44,78,66,80,2,65,78,0.37276201081474514
40,42,60,24,72,97,37,30,78,66,80,2,27,78,0.4014426173004741
41,23,16,24,49,97,36,44,78,66,21,59,27,78,0.23689837290592242
42,23,60,42,49,33,36,30,78,66,80,59,65,78,0.4590700267716108
43,42,16,24,72,97,37,44,78,66,80,2,27,4,0.4676055129757898
44,23,16,24,72,97,36,44,42,66,80,2,27,78,0.4178266282157742
45,42,16,24,49,97,36,30,42,66,21,2,65,78,0.3904512470037517
46,42,16,24,72,97,37,30,42,20,21,59,27,78,0.16805633033000467
47,42,60,24,49,97,37,44,78,20,21,2,65,78,0.5005281005816498
48,42,16,24,72,97,36,44,78,66,80,2,27,78,0.6606328623503602
49,42,60,42,72,97,37,30,78,66,21,59,27,4,0.6254604783523032
50,23,16,24,49,97,37,30,78,66,80,2,27,78,0.520690395291302
51,42,16,24,72,97,37,30,78,20,21,59,27,4,0.0
52,42,16,24,49,97,37,30,78,20,21,59,65,4,0.780490317927201
53,23,16,24,49,97,37,44,78,66,21,59,27,4,0.22834571295325132
54,42,16,24,72,97,36,44,78,66,80,59,65,4,0.42011077210495557
55,42,60,24,49,97,37,44,78,66,80,59,27,78,0.6562706622723438
56,42,60,24,72,33,36,44,78,66,80,59,27,78,0.4740543554372775
57,42,60,24,49,33,37,44,78,66,80,59,27,78,0.6491434458716544
58,42,16,24,72,33,37,44,78,20,80,59,27,78,0.6865742131361547
