,0,1,2,3,4,5,6,7,8,9,10,11,12
0,42,16,24,72,97,37,44,78,66,80,2,27,78
1,23,16,24,72,97,37,44,78,66,80,2,27,78
2,23,60,24,72,97,37,44,78,66,80,2,27,78
3,42,16,42,72,97,37,44,78,66,80,2,27,78
4,23,16,42,72,97,37,44,78,66,80,2,27,78
5,42,60,42,72,97,37,44,78,66,80,2,27,78
6,23,60,42,72,97,37,44,78,66,80,2,27,78
7,42,16,24,49,97,37,44,78,66,80,2,27,78
8,23,16,24,49,97,37,44,78,66,80,2,27,78
9,42,60,24,49,97,37,44,78,66,80,2,27,78
10,23,60,24,49,97,37,44,78,66,80,2,27,78
11,42,16,42,49,97,37,44,78,66,80,2,27,78
12,23,16,42,49,97,37,44,78,66,80,2,27,78
13,23,60,42,49,97,37,44,78,66,80,2,27,78
14,42,16,24,72,33,37,44,78,66,80,2,27,78
15,23,16,24,72,33,37,44,78,66,80,2,27,78
16,42,60,24,72,33,37,44,78,66,80,2,27,78
17,23,60,24,72,33,37,44,78,66,80,2,27,78
18,42,16,42,72,33,37,44,78,66,80,2,27,78
19,23,16,42,72,33,37,44,78,66,80,2,27,78
20,42,60,42,72,33,37,44,78,66,80,2,27,78
21,23,60,42,72,33,37,44,78,66,80,2,27,78
22,42,16,24,49,33,37,44,78,66,80,2,27,78
23,23,16,24,49,33,37,44,78,66,80,2,27,78
24,23,60,24,49,33,37,44,78,66,80,2,27,78
25,42,16,42,49,33,37,44,78,66,80,2,27,78
26,23,16,42,49,33,37,44,78,66,80,2,27,78
27,23,60,42,49,33,37,44,78,66,80,2,27,78
28,23,16,24,72,97,36,44,78,66,80,2,27,78
29,42,60,24,72,97,36,44,78,66,80,2,27,78
30,23,60,24,72,97,36,44,78,66,80,2,27,78
31,42,16,42,72,97,36,44,78,66,80,2,27,78
32,23,16,42,72,97,36,44,78,66,80,2,27,78
33,42,60,42,72,97,36,44,78,66,80,2,27,78
34,23,60,42,72,97,36,44,78,66,80,2,27,78
35,42,16,24,49,97,36,44,78,66,80,2,27,78
36,23,16,24,49,97,36,44,78,66,80,2,27,78
37,42,60,24,49,97,36,44,78,66,80,2,27,78
38,23,60,24,49,97,36,44,78,66,80,2,27,78
39,42,16,42,49,97,36,44,78,66,80,2,27,78
40,23,16,42,49,97,36,44,78,66,80,2,27,78
41,42,60,42,49,97,36,44,78,66,80,2,27,78
42,23,60,42,49,97,36,44,78,66,80,2,27,78
43,42,16,24,72,33,36,44,78,66,80,2,27,78
44,23,16,24,72,33,36,44,78,66,80,2,27,78
45,42,60,24,72,33,36,44,78,66,80,2,27,78
46,23,60,24,72,33,36,44,78,66,80,2,27,78
47,42,16,42,72,33,36,44,78,66,80,2,27,78
48,23,16,42,72,33,36,44,78,66,80,2,27,78
49,42,60,42,72,33,36,44,78,66,80,2,27,78
50,23,60,42,72,33,36,44,78,66,80,2,27,78
51,42,16,24,49,33,36,44,78,66,80,2,27,78
52,23,16,24,49,33,36,44,78,66,80,2,27,78
53,42,60,24,49,33,36,44,78,66,80,2,27,78
54,23,60,24,49,33,36,44,78,66,80,2,27,78
55,42,16,42,49,33,36,44,78,66,80,2,27,78
56,42,60,42,49,33,36,44,78,66,80,2,27,78
57,23,60,42,49,33,36,44,78,66,80,2,27,78
58,23,16,24,72,97,37,30,78,66,80,2,27,78
59,23,60,24,72,97,37,30,78,66,80,2,27,78
60,42,16,42,72,97,37,30,78,66,80,2,27,78
61,23,16,42,72,97,37,30,78,66,80,2,27,78
62,42,60,42,72,97,37,30,78,66,80,2,27,78
63,23,60,42,72,97,37,30,78,66,80,2,27,78
64,42,16,24,49,97,37,30,78,66,80,2,27,78
65,42,60,24,49,97,37,30,78,66,80,2,27,78
66,23,60,24,49,97,37,30,78,66,80,2,27,78
67,42,16,42,49,97,37,30,78,66,80,2,27,78
68,23,16,42,49,97,37,30,78,66,80,2,27,78
69,42,60,42,49,97,37,30,78,66,80,2,27,78
70,23,60,42,49,97,37,30,78,66,80,2,27,78
71,23,16,24,72,33,37,30,78,66,80,2,27,78
72,42,60,24,72,33,37,30,78,66,80,2,27,78
73,23,60,24,72,33,37,30,78,66,80,2,27,78
74,42,16,42,72,33,37,30,78,66,80,2,27,78
75,23,16,42,72,33,37,30,78,66,80,2,27,78
76,42,60,42,72,33,37,30,78,66,80,2,27,78
77,23,60,42,72,33,37,30,78,66,80,2,27,78
78,42,16,24,49,33,37,30,78,66,80,2,27,78
79,23,16,24,49,33,37,30,78,66,80,2,27,78
80,42,60,24,49,33,37,30,78,66,80,2,27,78
81,23,60,24,49,33,37,30,78,66,80,2,27,78
82,42,16,42,49,33,37,30,78,66,80,2,27,78
83,23,16,42,49,33,37,30,78,66,80,2,27,78
84,42,60,42,49,33,37,30,78,66,80,2,27,78
85,23,60,42,49,33,37,30,78,66,80,2,27,78
86,23,16,24,72,97,36,30,78,66,80,2,27,78
87,42,60,24,72,97,36,30,78,66,80,2,27,78
88,23,60,24,72,97,36,30,78,66,80,2,27,78
89,42,16,42,72,97,36,30,78,66,80,2,27,78
90,23,16,42,72,97,36,30,78,66,80,2,27,78
91,42,60,42,72,97,36,30,78,66,80,2,27,78
92,23,60,42,72,97,36,30,78,66,80,2,27,78
93,42,16,24,49,97,36,30,78,66,80,2,27,78
94,23,16,24,49,97,36,30,78,66,80,2,27,78
95,23,60,24,49,97,36,30,78,66,80,2,27,78
96,42,16,42,49,97,36,30,78,66,80,2,27,78
97,23,16,42,49,97,36,30,78,66,80,2,27,78
98,42,60,42,49,97,36,30,78,66,80,2,27,78
99,23,60,42,49,97,36,30,78,66,80,2,27,78
100,42,16,24,72,33,36,30,78,66,80,2,27,78
101,23,16,24,72,33,36,30,78,66,80,2,27,78
102,42,60,24,72,33,36,30,78,66,80,2,27,78
103,23,60,24,72,33,36,30,78,66,80,2,27,78
104,42,16,42,72,33,36,30,78,66,80,2,27,78
105,23,16,42,72,33,36,30,78,66,80,2,27,78
106,42,60,42,72,33,36,30,78,66,80,2,27,78
107,23,60,42,72,33,36,30,78,66,80,2,27,78
108,42,16,24,49,33,36,30,78,66,80,2,27,78
109,23,16,24,49,33,36,30,78,66,80,2,27,78
110,42,60,24,49,33,36,30,78,66,80,2,27,78
111,23,60,24,49,33,36,30,78,66,80,2,27,78
112,42,16,42,49,33,36,30,78,66,80,2,27,78
113,23,16,42,49,33,36,30,78,66,80,2,27,78
114,42,60,42,49,33,36,30,78,66,80,2,27,78
115,23,60,42,49,33,36,30,78,66,80,2,27,78
116,42,16,24,72,97,37,44,42,66,80,2,27,78
117,23,16,24,72,97,37,44,42,66,80,2,27,78
118,42,60,24,72,97,37,44,42,66,80,2,27,78
119,23,60,24,72,97,37,44,42,66,80,2,27,78
120,42,16,42,72,97,37,44,42,66,80,2,27,78
121,23,16,42,72,97,37,44,42,66,80,2,27,78
122,42,60,42,72,97,37,44,42,66,80,2,27,78
123,23,60,42,72,97,37,44,42,66,80,2,27,78
124,42,16,24,49,97,37,44,42,66,80,2,27,78
125,23,16,24,49,97,37,44,42,66,80,2,27,78
126,42,60,24,49,97,37,44,42,66,80,2,27,78
127,23,60,24,49,97,37,44,42,66,80,2,27,78
128,42,16,42,49,97,37,44,42,66,80,2,27,78
129,23,16,42,49,97,37,44,42,66,80,2,27,78
