,0,1,2,3,4,5,6,7,8,9,10,11,12,y_score_0.61,y_score_0.58,y_score_0.55,gbr,svr,rf,cnn,lstm
0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0539104,0.014859,-0.0515073,0.525305,0.515166,0.504112,0.534137,0.575533
1,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.060626,0.00609674,-0.0634393,0.515808,0.437014,0.504112,0.535944,0.561821
2,1,1,0,0,0,0,0,0,0,0,0,0,0,-0.0420164,0.0143435,-0.0481879,0.5929,0.52458,0.60977,0.595901,0.567972
3,0,0,1,0,0,0,0,0,0,0,0,0,0,-0.0540718,0.0147201,-0.0467817,0.525305,0.506766,0.504112,0.521179,0.584287
4,1,0,1,0,0,0,0,0,0,0,0,0,0,-0.0604511,0.00705947,-0.0589266,0.515808,0.469416,0.504112,0.526543,0.583515
5,0,1,1,0,0,0,0,0,0,0,0,0,0,-0.0376388,0.0204063,-0.0327743,0.583207,0.531717,0.585042,0.560662,0.586665
6,1,1,1,0,0,0,0,0,0,0,0,0,0,-0.0428261,0.0137747,-0.0461002,0.57371,0.508481,0.585042,0.564643,0.587543
7,0,0,0,1,0,0,0,0,0,0,0,0,0,-0.0510865,0.0165634,-0.0483202,0.525305,0.534282,0.504112,0.574767,0.573337
8,1,0,0,1,0,0,0,0,0,0,0,0,0,-0.0578021,0.00783233,-0.0602522,0.515808,0.499042,0.504112,0.561583,0.572815
9,0,1,0,1,0,0,0,0,0,0,0,0,0,-0.0333946,0.0238626,-0.0310192,0.602397,0.55964,0.60977,0.600955,0.584324
10,1,1,0,1,0,0,0,0,0,0,0,0,0,-0.0387219,0.0163486,-0.0447001,0.5929,0.527611,0.60977,0.601152,0.580919
11,0,0,1,1,0,0,0,0,0,0,0,0,0,-0.0516604,0.0154875,-0.0451836,0.525305,0.517642,0.504112,0.545347,0.575023
12,1,0,1,1,0,0,0,0,0,0,0,0,0,-0.0580397,0.00787488,-0.0573285,0.515808,0.503987,0.504112,0.53594,0.582127
